attraction_code,name,slug,province,province_code,region,category,desc_short,desc_long,tags,latitude,longitude,thumbnail_path,image_path,svg_path,priority,is_active
BDK-001,Badakhshan Mountains & Lakes,badakhshan-mountains-lakes,Badakhshan,BDK,North,Nature & Adventure,Alpine peaks and sapphire glacial lakes.,"A realm of extreme geography where the Hindu Kush meets the Pamirs. Badakhshan's landscapes feature dramatic vertical walls, deep valleys, and high-altitude basins where seasonal lakes shift through shades of turquoise and deep sapphire. It is a premier destination for expedition-style travel and remote mountain photography.","#Photography, #Expedition, #Nature",37.12,70.81,/assets/images/attractions/thumbnails/tbdk001.jpg,/assets/images/attractions/bdk001.webp,/assets/images/maps/provinces/badakhshan.svg,6,1
BDK-002,The Wakhan Corridor,the-wakhan-corridor,Badakhshan,BDK,North,Nature & Adventure,The legendary 'Roof of the World'.,"Stretching between the Pamirs and the Hindu Kush, the Wakhan Corridor is a high-altitude panhandle that once served as a vital Silk Road link. This isolated region offers a rare sense of scale, characterized by broad river valleys, ancient ruins, and the semi-nomadic cultures of the Wakhi and Kyrgyz people.","#Trekking, #SilkRoad, #CulturalImmersion",37.05,73.37,/assets/images/attractions/thumbnails/tbdk002.jpg,/assets/images/attractions/bdk002.webp,/assets/images/maps/provinces/badakhshan.svg,8,1
BDK-003,Mount Noshaq,mt-noshaq,Badakhshan,BDK,North,Nature & Adventure,Afghanistan's highest and mightiest peak.,"Standing at 7,492 meters, Mount Noshaq is the crown of the Hindu Kush. While its summit is reserved for serious mountaineers, the surrounding base camps and glacier-fed valleys provide trekkers with some of the most awe-inspiring high-alpine scenery in Central Asia.","#Mountaineering, #Extreme, #Nature",36.43,71.83,/assets/images/attractions/thumbnails/tbdk003.jpg,/assets/images/attractions/bdk003.webp,/assets/images/maps/provinces/badakhshan.svg,7,1
BDG-001,Badghis Hills & Nomadic Pastures,badghis-hills-nomadic-pastures,Badghis,BDG,West,Rural,Rolling pistachio hills and nomadic life.,"Badghis is famous for its rolling green hills and wild pistachio forests. The landscape serves as a vital grazing ground for nomadic Kuchi tribes, offering a serene and pastoral view of Afghanistan that transforms from vibrant green in spring to a golden velvet in late summer.","#NomadicLife, #Nature, #Pastoral",35.01,63.77,/assets/images/attractions/thumbnails/tbdg001.jpg,/assets/images/attractions/bdg001.webp,/assets/images/maps/provinces/badghis.svg,4,1
BAG-001,Surkh Kotal,surkh-kotal,Baghlan,BAG,North,Ancient Civilizations,Majestic ruins of the Kushan Empire.,"Commonly known as the 'Red Pass,' this 1st-century CE archaeological site features a monumental temple complex built by King Kanishka. Its tiered hill-top structure offers a powerful visual connection to the region's pre-Islamic imperial history and the blending of Greek and Bactrian architectural styles.","#History, #Archaeology, #Kushan",36.03,68.58,/assets/images/attractions/thumbnails/tbag001.jpg,/assets/images/attractions/bag001.webp,/assets/images/maps/provinces/baghlan.svg,6,1
BAL-001,Shrine of Hazrat Ali (Blue Mosque),shrine-of-hazrat-ali-blue-mosque,Balkh,BAL,North,Spiritual & Religious,A turquoise masterpiece of Islamic art.,"The spiritual heart of Mazar-e-Sharif, this world-renowned shrine is draped in thousands of intricate turquoise and azure tiles. Beyond its stunning symmetry and architecture, it is a vibrant cultural hub where white pigeons flock and pilgrims gather in a peaceful atmosphere of devotion.","#Architecture, #Photography, #Spiritual",36.709,67.111,/assets/images/attractions/thumbnails/tbal001.jpg,/assets/images/attractions/bal001.webp,/assets/images/maps/provinces/balkh.svg,10,1
BAL-002,Ancient City of Balkh,ancient-city-of-balkh,Balkh,BAL,North,Ancient Civilizations,The historic 'Mother of Cities'.,"As one of the oldest cities in the world, Balkh (ancient Bactria) was a spiritual center for Zoroastrianism and Buddhism long before the Islamic era. Visitors can explore massive sun-dried mud-brick walls, the ruins of the Green Mosque, and layers of history that define the Silk Road.","#SilkRoad, #History, #Archaeology",36.758,66.898,/assets/images/attractions/thumbnails/tbal002.jpg,/assets/images/attractions/bal002.webp,/assets/images/maps/provinces/balkh.svg,9,1
BAL-003,Tomb of Rabia Balkhi,tomb-of-rabia-balkhi,Balkh,BAL,North,Landmarks,A shrine to Persian literature's first poet.,"This modest, elegant tomb commemorates Rabia Balkhi, a 10th-century poet who is a legendary figure in Persian literature. Located within the ancient ruins of Balkh, the site is a place of pilgrimage for those wishing to honor her tragic life and enduring poetic legacy.","#Literature, #Poetry, #History",36.757,66.897,/assets/images/attractions/thumbnails/tbal003.jpg,/assets/images/attractions/bal003.webp,/assets/images/maps/provinces/balkh.svg,5,1
BAL-004,Haji Piyada (Nine Domes) Mosque,haji-piyada-nine-domes,Balkh,BAL,North,Ancient Civilizations,Afghanistan's oldest surviving mosque.,"Dating back to the 9th century, this humble yet historically vital structure is a rare example of early Samanid-style architecture. Its remaining columns and exquisite carved stucco work offer a quiet, profound glimpse into the early Islamic artistic traditions of Central Asia.","#Architecture, #EarlyIslamic, #History",36.729,66.885,/assets/images/attractions/thumbnails/tbal004.jpg,/assets/images/attractions/bal004.webp,/assets/images/maps/provinces/balkh.svg,7,1
BAL-005,Rumi's Father's House (Madrasa),rumi-home-madrasa,Balkh,BAL,North,Spiritual & Religious,The ancestral home of the great mystic Rumi.,"This mud-brick ruin is traditionally believed to be the home and madrasa of Bahauddin Walad, the father of the world-famous Sufi poet Jalaluddin Rumi. It serves as a symbolic bridge to the golden age of Balkh as a global center of spirituality and learning.","#Sufism, #Rumi, #History",36.759,66.9,/assets/images/attractions/thumbnails/tbal005.jpg,/assets/images/attractions/bal005.webp,/assets/images/maps/provinces/balkh.svg,5,1
BAL-006,Qala-i-Jangi Fortress,qalai-jangi-fortress,Balkh,BAL,North,Landmarks,Massive 19th-century earthwork fortress.,"Located near Mazar-e-Sharif, this sprawling fortress complex is an imposing example of modern-era Afghan military architecture. Built from sun-baked brick and earth, its high walls and massive gates have witnessed centuries of regional power struggles and strategic military history.","#MilitaryHistory, #Fortress, #Architecture",36.666,67.025,/assets/images/attractions/thumbnails/tbal006.jpg,/assets/images/attractions/bal006.webp,/assets/images/maps/provinces/balkh.svg,6,1
BMY-001,Buddha Niches of Bamyan,buddha-niches-of-bamyan,Bamyan,BMY,Central,Ancient Civilizations,Iconic Silk Road cultural giants.,"Carved into the sandstone cliffs in the 6th century, these massive niches once housed the world’s tallest standing Buddhas. Today, they remain a UNESCO World Heritage site and a powerful symbol of Afghanistan's diverse history, offering panoramic views of the valley from the honeycomb of caves and monastic cells.","#UNESCO, #History, #BuddhistArt",34.849,67.826,/assets/images/attractions/thumbnails/tbmy001.jpg,/assets/images/attractions/bmy001.webp,/assets/images/maps/provinces/bamyan.svg,10,1
BMY-002,Shahr-e-Gholghola,shahr-e-gholghola,Bamyan,BMY,Central,Ancient Civilizations,The haunting 'City of Screams' ruins.,"Overlooking the Bamyan Valley, this ruined citadel bears silent witness to the Mongol invasion of 1221. Walking through its crumbling towers and residential alleys offers a somber historical narrative and the best 360-degree views of the Buddha niches and the surrounding peaks.","#Panoramas, #MongolInvasion, #Archaeology",34.821,67.835,/assets/images/attractions/thumbnails/tbmy002.jpg,/assets/images/attractions/bmy002.webp,/assets/images/maps/provinces/bamyan.svg,7,1
BMY-003,Shahr-e-Zohak,shahr-e-zohak,Bamyan,BMY,Central,Ancient Civilizations,The dramatic 'Red City' mountain fortress.,"Perched at the junction of the Bamyan and Kalu rivers, this 'Red City' is named for the stunning rust-colored volcanic rock on which it sits. Its series of towers and defensive walls seem to grow out of the cliffs, providing a formidable example of medieval Silk Road defense.","#Photography, #Fortress, #Geology",34.816,67.985,/assets/images/attractions/thumbnails/tbmy003.jpg,/assets/images/attractions/bmy003.webp,/assets/images/maps/provinces/bamyan.svg,7,1
BMY-004,Band-e-Amir National Park,band-e-amir-national-park,Bamyan,BMY,Central,Nature & Adventure,Stunning sapphire-blue travertine lakes.,"Often called 'The Grand Canyon of Afghanistan,' this national park features six natural dams made of travertine. The contrast between the deep, electric-blue water and the towering, sun-scorched limestone cliffs creates one of the most breathtaking natural spectacles in the world.","#NationalPark, #Photography, #Lakes",34.84,67.22,/assets/images/attractions/thumbnails/tbmy004.jpg,/assets/images/attractions/bmy004.webp,/assets/images/maps/provinces/bamyan.svg,10,1
BMY-005,Koh-e-Baba Mountain Range,koh-e-baba-range,Bamyan,BMY,Central,Nature & Adventure,The snowy spine of the Central Highlands.,"Part of the Hindu Kush system, the Koh-e-Baba range is the watershed of Afghanistan. It offers rugged alpine beauty for hikers in the summer and a growing destination for winter sports, with peaks providing a stark, beautiful backdrop to the Bamyan Valley.","#Hiking, #WinterSports, #Highlands",34.85,67.45,/assets/images/attractions/thumbnails/tbmy005.jpg,/assets/images/attractions/bmy005.webp,/assets/images/maps/provinces/bamyan.svg,8,1
BMY-006,Dragon Valley,dragon-valley-dara-e-ajdahar,Bamyan,BMY,Central,Nature & Adventure,Nature's petrified 'Dragon' ridge.,"Named after a distinctive rock formation that resembles a petrified dragon, this valley is steeped in local folklore. A walk along the 'spine' of the dragon reveals mineral springs and unique geological textures, making it a quick and rewarding nature excursion near Bamyan.","#Folklore, #Hiking, #Geology",34.825,67.785,/assets/images/attractions/thumbnails/tbmy006.jpg,/assets/images/attractions/bmy006.webp,/assets/images/maps/provinces/bamyan.svg,6,1
BMY-007,Chehel Burj Bamyan Ruins,chehel-burj-bamyan-ruins,Bamyan,BMY,West,Ancient Civilizations,The mysterious 'Forty Towers' fortress.,"Chehel Burj is a formidable ruined fortress located in a remote mountain setting. Its name, meaning 'Forty Towers,' refers to the numerous defensive structures that ring the site. It offers an atmospheric experience for travelers seeking history off the beaten path.","#OffTheBeatenPath, #Fortress, #Mystery",34.4,64.9,/assets/images/attractions/thumbnails/tbmy007.jpg,/assets/images/attractions/bmy007.webp,/assets/images/maps/provinces/bamyan.svg,5,1
DYK-001,Daykundi Highlands,daykundi-highlands-hazarajat,Daykundi,DYK,Central,Rural,Terraced valleys and almond blossoms.,"Daykundi is a stunning region of the Hazarajat highlands, known for its terraced mountainside farming and high-quality almonds. The province offers a peaceful glimpse into rural Afghan life, where stone houses cling to hillsides above rushing mountain streams.","#Almonds, #Terraces, #Hazarajat",33.67,66.05,/assets/images/attractions/thumbnails/tdyk001.jpg,/assets/images/attractions/dyk001.webp,/assets/images/maps/provinces/daykundi.svg,5,1
FRA-001,Farah Citadel,farah-citadel-farah-river,Farah,FRA,West,Landmarks,An ancient river-side desert fortress.,"Steeped in legend and associated with the era of Alexander the Great, this massive mud-brick citadel stands guard over the Farah River. Its towering ramparts provide a stark silhouette against the desert horizon and offer a historic perspective on western trade routes.","#AlexanderTheGreat, #Desert, #Fortress",32.378,62.112,/assets/images/attractions/thumbnails/tfra001.jpg,/assets/images/attractions/frh001.webp,/assets/images/maps/provinces/farah.svg,5,1
FAR-001,Faryab Cultural Villages,faryab-cultural-villages,Faryab,FAR,North,Rural,Turkmen heritage and artisan weaving.,"Faryab's villages are the heart of Afghanistan's northern carpet-weaving traditions. Visitors can experience the unique Turkmen culture, traditional yurt-style homes, and vibrant local markets where world-class hand-knotted rugs have been traded for generations.","#Carpets, #TurkmenCulture, #Artisans",36.08,64.9,/assets/images/attractions/thumbnails/tfar001.jpg,/assets/images/attractions/frh001.webp,/assets/images/maps/provinces/faryab.svg,4,1
GHZ-001,Ghazni Minarets,ghazni-minarets,Ghazni,GHZ,Central,Ancient Civilizations,Ornate 12th-century victory towers.,"Two stunning brick minarets stand as the last major remnants of the Ghaznavid Empire's glory. Decorated with complex geometric patterns and Kufic inscriptions, they represent a pinnacle of medieval Islamic architecture and the former might of Sultan Mahmud's capital.","#Architecture, #History, #Ghaznavid",33.548,68.428,/assets/images/attractions/thumbnails/tghz001.jpg,/assets/images/attractions/ghz001.webp,/assets/images/maps/provinces/ghazni.svg,7,1
GHZ-002,Bala Hisar of Ghazni,bala-hisar-of-ghazni,Ghazni,GHZ,Central,Landmarks,The historic high citadel of the south.,"A formidable fortress that has overlooked Ghazni for over a millennium. Its walls have sheltered empires from the Ghaznavids to the Mughals, and it remains a key site for understanding the strategic military geography of the central-southern highlands.","#Fortress, #Highlands, #MilitaryHistory",33.551,68.418,/assets/images/attractions/thumbnails/tghz002.jpg,/assets/images/attractions/ghz002.webp,/assets/images/maps/provinces/ghazni.svg,6,1
GHZ-003,Tomb of Sultan Mahmud,tomb-of-sultan-mahmud-ghaznavi,Ghazni,GHZ,Central,Spiritual & Religious,Resting place of a medieval world-conqueror.,"Located in a quiet garden setting, this tomb honors the most famous ruler of the Ghaznavid Empire. The site features intricate carved marble and serves as a significant historical anchor for the city's identity as a former imperial capital.","#History, #SultanMahmud, #IslamicArt",33.575,68.442,/assets/images/attractions/thumbnails/tghz003.jpg,/assets/images/attractions/ghz003.webp,/assets/images/maps/provinces/ghazni.svg,6,1
GHZ-004,Tapa Sardar,tapa-sardar-archaeological-site,Ghazni,GHZ,Central,Ancient Civilizations,Remains of a massive hilltop stupa.,"One of the most important pre-Islamic sites in Afghanistan, Tapa Sardar was once a grand Buddhist monastery complex. Its ruins highlight the architectural sophistication of the 3rd to 8th centuries and Ghazni's role as a major stop on the Silk Road.","#BuddhistHistory, #Archaeology, #SilkRoad",33.542,68.445,/assets/images/attractions/thumbnails/tghz004.jpg,/assets/images/attractions/ghz004.webp,/assets/images/maps/provinces/ghazni.svg,6,1
GHZ-005,Palace of Sultan Mas'ud III,palace-of-sultan-masud-iii,Ghazni,GHZ,Central,Ancient Civilizations,Ruined grandeur of the Ghaznavid court.,"These sprawling ruins once formed a grand royal residence noted for its innovative use of brickwork and decorative terracotta. Today, the palace site provides archaeologists and travelers with a sense of the immense scale of medieval court life in the region.","#Ghaznavid, #Palace, #Archaeology",33.549,68.429,/assets/images/attractions/thumbnails/tghz005.jpg,/assets/images/attractions/ghz005.webp,/assets/images/maps/provinces/ghazni.svg,5,1
GHO-001,Minaret of Jam,minaret-e-jam-unesco,Ghor,GHO,West,Landmarks,A 12th-century masterpiece in the wilderness.,"Rising 65 meters above a remote river valley, this UNESCO World Heritage site is a miracle of medieval brickwork. Its intricate Kufic calligraphy and geometric patterns are perfectly preserved, standing as a lonely, towering testament to the height of the Ghurid Empire.","#UNESCO, #Remote, #Photography",34.397,64.516,/assets/images/attractions/thumbnails/tgho001.jpg,/assets/images/attractions/gho001.webp,/assets/images/maps/provinces/ghor.svg,10,1
GHO-002,Rural Ghor Highlands,rural-ghor-highlands-villages,Ghor,GHO,West,Rural,Wild mountains and isolated stone villages.,"Ghor is one of Afghanistan's most rugged and least-traveled provinces. The landscape is defined by vast mountain plateaus and remote stone-built villages where life follows ancient seasonal rhythms, offering a true frontier experience for adventurous travelers.","#Frontier, #Adventure, #Highlands",34.5,65.0,/assets/images/attractions/thumbnails/tgho002.jpg,/assets/images/attractions/gho002.webp,/assets/images/maps/provinces/ghor.svg,4,1
HLM-001,Helmand River Landscape,helmand-river-landscape,Helmand,HLM,South,Nature & Adventure,A lush desert lifeline and river oasis.,"The Helmand River creates a striking green ribbon through the arid southern plains. Along its banks, fertile fields of wheat and fruit orchards provide a vibrant contrast to the surrounding desert, showing how water has sustained life here for millennia.","#River, #Oasis, #Agriculture",31.35,64.1,/assets/images/attractions/thumbnails/thlm001.jpg,/assets/images/attractions/hlm001.webp,/assets/images/maps/provinces/helmand.svg,5,1
HLM-002,Qala-e-Bost Arch,qala-e-bost,Helmand,HLM,South,Landmarks,Iconic Ghaznavid arch and desert citadel.,"One of the most famous architectural symbols of the south, this massive 11th-century arch once served as the grand entrance to a royal Ghaznavid city. Nearby, the ruins of a sprawling fortress offer a glimpse into the region's medieval importance.","#Architecture, #History, #Ghaznavid",31.502,64.368,/assets/images/attractions/thumbnails/thlm002.jpg,/assets/images/attractions/hlm002.webp,/assets/images/maps/provinces/helmand.svg,7,1
HER-001,Herat Old City & Bazaars,herat-old-city-bazaars,Herat,HER,West,Bazaars & Artisans,A vibrant maze of silk and copper.,"Herat's Old City is a living museum. Within its narrow alleys, you'll find ancient silk-weaving workshops, copper-smiths hammering by hand, and spice markets that have remained active for centuries, maintaining the authentic rhythm of a Silk Road trading hub.","#Artisans, #SilkRoad, #Photography",34.342,62.195,/assets/images/attractions/thumbnails/ther001.jpg,/assets/images/attractions/her001.webp,/assets/images/maps/provinces/herat.svg,8,1
HER-002,Herat Citadel,herat-citadel-qala-ye-ikhtiyaruddin,Herat,HER,West,Landmarks,Timeless fortress of Alexander the Great.,"Dating back to 330 BC, this massive citadel has been destroyed and rebuilt by countless conquerors, including Genghis Khan and Timur. Its imposing walls and towers dominate the Herat skyline, offering museum galleries and spectacular sunset views over the old city bazaars.","#Fortress, #History, #SunsetViews",34.349,62.188,/assets/images/attractions/thumbnails/ther002.jpg,/assets/images/attractions/her002.webp,/assets/images/maps/provinces/herat.svg,10,1
HER-003,Herat Friday Mosque,herat-friday-mosque-masjid-e-jami,Herat,HER,West,Spiritual & Religious,A dazzling jewel of Timurid tilework.,"One of the world's most beautiful mosques, this site is renowned for its vast courtyard and stunning blue tile mosaics. The mosque remains a living workspace, with an on-site tile workshop where artisans still use 15th-century techniques to maintain the structure.","#Timurid, #Artisans, #Spiritual",34.342,62.203,/assets/images/attractions/thumbnails/ther003.jpg,/assets/images/attractions/her003.webp,/assets/images/maps/provinces/herat.svg,9,1
HER-004,Herat Minarets,herat-minarets-musalla-complex,Herat,HER,West,Landmarks,Striking silhouettes of a lost empire.,"The remaining minarets of the Musalla complex are a haunting reminder of the city's past as a center of the Timurid Renaissance. These towering brick structures, once part of a massive madrasa and mosque complex, offer one of Afghanistan's most iconic sunset views.","#Timurid, #Photography, #History",34.359,62.182,/assets/images/attractions/thumbnails/ther004.jpg,/assets/images/attractions/her004.webp,/assets/images/maps/provinces/herat.svg,8,1
JOW-001,Tala Tepe,tala-tepe,Jowzjan,JOW,North,Ancient Civilizations,Site of the famous 'Bactrian Gold'.,"Known as the 'Hill of Gold,' this archaeological site near Sheberghan was the discovery point of over 20,000 pieces of ancient gold jewelry. It highlights northern Afghanistan's role as a rich crossroads where Greek, Scythian, and Chinese cultures met 2,000 years ago.","#BactrianGold, #History, #Crossroads",36.699,65.789,/assets/images/attractions/thumbnails/tjow001.jpg,/assets/images/attractions/jow001.webp,/assets/images/maps/provinces/jowzjan.svg,6,1
KBL-001,Darulaman Palace,darulaman-palace,Kabul,KBL,Central,Landmarks,Iconic symbol of national resilience.,"Built in the 1920s as part of King Amanullah Khan's modernization drive, this neoclassical palace has been meticulously restored after decades of war. It stands as a grand symbol of Kabul's architectural ambition and national renewal.","#Architecture, #NationalPride, #ModernHistory",34.465,69.119,/assets/images/attractions/thumbnails/tkbl001.jpg,/assets/images/attractions/kbl001.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-002,Kabul National Museum,kabul-national-museum,Kabul,KBL,Central,Landmarks,Treasury of Afghanistan's ancient past.,"Once one of the world's greatest museums, this institution has survived extraordinary odds to preserve the country's heritage. Its collections include Buddhist sculptures, ivory carvings, and Islamic art that provide essential context for the Silk Road's history.","#Museum, #Education, #History",34.468,69.121,/assets/images/attractions/thumbnails/tkbl002.jpg,/assets/images/attractions/kbl002.webp,/assets/images/maps/provinces/kabul.svg,8,1
KBL-003,Babur's Gardens,baburs-gardens-bagh-e-babur,Kabul,KBL,Central,Landmarks,Terraced Mughal paradise in Kabul.,"The final resting place of the first Mughal Emperor, Babur, these beautifully restored terraced gardens are an oasis of calm. Featuring marble pavilions, water channels, and ancient walnut trees, the site offers a glimpse into the refined lifestyle and garden-culture of the 16th-century Mughal court.","#Mughal, #Gardens, #Photography",34.503,69.158,/assets/images/attractions/thumbnails/tkbl003.jpg,/assets/images/attractions/kbl003.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-004,Shah-e-Du Shamshira Mosque,shah-e-du-shamshira,Kabul,KBL,Central,Spiritual & Religious,The unique 'Mosque of Two Swords'.,"Located on the banks of the Kabul River, this 1920s mosque is architecturally unique for its Italian-influenced Baroque style. It stands on a historic site where legend says an early Muslim commander fought with two swords, making it a beloved city landmark.","#Architecture, #KabulRiver, #History",34.516,69.181,/assets/images/attractions/thumbnails/tkbl004.jpg,/assets/images/attractions/kbl004.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-005,Sakhi Shrine,sakhi-shrine-karte-sakhi,Kabul,KBL,Central,Spiritual & Religious,A vivid blue beacon of Kabul's faith.,"Nestled at the foot of Mount Asmai, this major shrine is famous for its vibrant blue and green tiles. It is a central place of worship for the city's Shi'a community and a peaceful space that offers a profound look at living religious traditions in the capital.","#Architecture, #Spiritual, #Photography",34.517,69.145,/assets/images/attractions/thumbnails/tkbl005.jpg,/assets/images/attractions/kbl005.webp,/assets/images/maps/provinces/kabul.svg,7,1
KBL-006,Wazir Akbar Khan Hill,wazir-akbar-khan-hill,Kabul,KBL,Central,Urban,The best panoramic viewpoint in Kabul.,"This elevated hill offers the most famous view of the capital, marked by a massive Afghan flag. It is the perfect place to understand Kabul's sprawl and its dramatic mountain-ringed geography, especially at sunset when the city lights begin to twinkle.","#Panoramas, #SunsetViews, #Cityscape",34.538,69.185,/assets/images/attractions/thumbnails/tkbl006.jpg,/assets/images/attractions/kbl006.webp,/assets/images/maps/provinces/kabul.svg,10,1
KBL-007,Chicken Street,chicken-street,Kabul,KBL,Central,Bazaars & Artisans,Kabul's legendary antiques market.,"A historic corridor for travelers, Chicken Street is the go-to place for lapis lazuli jewelry, hand-woven carpets, and traditional Afghan crafts. Even for non-shoppers, it offers a fascinating look at the country's diverse artisanal heritage.","#Antiques, #Shopping, #Crafts",34.529,69.169,/assets/images/attractions/thumbnails/tkbl007.jpg,/assets/images/attractions/kbl007.webp,/assets/images/maps/provinces/kabul.svg,6,1
