attraction_code,name,slug,province,province_code,region,category,desc_short,desc_long,tags,latitude,longitude,thumbnail_path,image_path,svg_path,priority,is_active
KBL-008,Qargha Lake,qargha-lake,Kabul,KBL,Central,Nature & Adventure,Kabul's favorite weekend lakeside escape.,"Just a short drive from the city center, this reservoir is the primary recreation spot for Kabulis. With boat rides, lakeside restaurants, and fresh mountain air, it provides a relaxed, social atmosphere and a different side of life in the capital.","#Boating, #Recreation, #Lakeside",34.545,69.055,/assets/images/attractions/thumbnails/tkbl008.jpg,/assets/images/attractions/kbl008.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-009,TV Tower Hill (Mount Asmai),tv-tower-hill-asmai,Kabul,KBL,Central,Urban,A high-altitude gaze over the city.,"Known colloquially as TV Mountain, this peak bisects Kabul. A drive to its summit provides a stunning bird's-eye view of the city's neighborhoods and the ancient fortifications that wind along the surrounding mountain ridges.","#Panoramas, #Viewpoint, #Kabul",34.522,69.155,/assets/images/attractions/thumbnails/tkbl009.jpg,/assets/images/attractions/kbl009.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-010,Bala Hissar,bala-hissar-kabul,Kabul,KBL,Central,Landmarks,Kabul's ancient hilltop 'High Fortress'.,"Occupied for over 1,500 years, this fortress has been the seat of power for Kabul's rulers. Its thick stone walls and strategic location at the city's narrows offer a visible link to the centuries of conflict and trade that have defined the capital.","#Fortress, #MilitaryHistory, #History",34.505,69.191,/assets/images/attractions/thumbnails/tkbl010.jpg,/assets/images/attractions/kbl010.webp,/assets/images/maps/provinces/kabul.svg,4,1
KBL-011,Kabul Zoo,kabul-zoo,Kabul,KBL,Central,Urban,A resilient center of family life.,"While modest by international standards, the Kabul Zoo is a beloved public space. It houses species native to the region, such as the mountain snow leopard, and offers a glimpse into the everyday leisure lives of Kabul's residents.","#Wildlife, #FamilyFriendly, #Education",34.511,69.155,/assets/images/attractions/thumbnails/tkbl011.jpg,/assets/images/attractions/kbl011.webp,/assets/images/maps/provinces/kabul.svg,3,1
KBL-012,Taq-e-Zafar Paghman,taq-e-zafar-paghman,Kabul,KBL,Central,Landmarks,European-style arch in a mountain retreat.,"Paghman is a high-altitude summer retreat for Kabulis, famous for its gardens and the 'Arch of Victory'. Modeled after the Arc de Triomphe, the monument commemorates Afghan independence and sits within a valley known for its fresh air and walnut groves.","#Independence, #Architecture, #Gardens",34.588,68.951,/assets/images/attractions/thumbnails/tkbl012.jpg,/assets/images/attractions/kbl012.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-013,Murad Khane,murad-khane-old-city,Kabul,KBL,Central,Bazaars & Artisans,Beautifully restored timber-framed old city.,"A hidden gem in Kabul's center, this neighborhood features exquisitely restored 18th-century cedar-wood buildings. It is a living example of traditional urban architecture and home to an institute that teaches ancient Afghan woodcarving and ceramic arts.","#Woodcarving, #Architecture, #Restoration",34.519,69.183,/assets/images/attractions/thumbnails/tkbl013.jpg,/assets/images/attractions/kbl013.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-014,Tape Nader Khan,tape-nader-khan,Kabul,KBL,Central,Landmarks,Royal mausoleums on a quiet hill.,"This hilltop site contains the tombs of Afghanistan's 20th-century royal family, including King Nadir Shah. It offers a somber, regal atmosphere and provides excellent views of Kabul's eastern sprawl and the Olympic Stadium.","#RoyalHistory, #Viewpoint, #History",34.521,69.208,/assets/images/attractions/thumbnails/tkbl014.jpg,/assets/images/attractions/kbl014.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-015,Kahfroshi Bird Market,kahfroshi-bird-market,Kabul,KBL,Central,Bazaars & Artisans,A sensory journey through the bird bazaar.,"This narrow, sun-dappled alleyway in old Kabul is one of the city's most atmospheric spots. Here, hundreds of songbirds in wicker cages line the walls, a tradition that reflects the Afghan love for bird-keeping and the timeless charm of the bazaar.","#Photography, #Culture, #Bazaars",34.518,69.184,/assets/images/attractions/thumbnails/tkbl015.jpg,/assets/images/attractions/kbl015.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-016,Ghazi Olympic Stadium,ghazi-olympic-stadium,Kabul,KBL,Central,Urban,The heart of Afghan sports and football.,"Named after King Amanullah Khan (the 'Ghazi'), this stadium is the primary venue for football and national events. It serves as a major reference point for public life in the capital and a symbol of the country's passion for sport.","#Sports, #Football, #PublicLife",34.518,69.191,/assets/images/attractions/thumbnails/tkbl016.jpg,/assets/images/attractions/kbl016.webp,/assets/images/maps/provinces/kabul.svg,4,1
KBL-017,OMAR Landmine Museum,omar-landmine-museum,Kabul,KBL,Central,Landmarks,Educational insight into humanitarian work.,"This unique museum provides a vital look at the technical side of demining. Through its collection of hardware and instructional displays, it honors the deminers who have made Afghanistan safer and offers a perspective on the challenges of post-conflict recovery.","#Education, #Humanitarian, #History",34.525,69.205,/assets/images/attractions/thumbnails/tkbl017.jpg,/assets/images/attractions/kbl017.webp,/assets/images/maps/provinces/kabul.svg,8,1
KBL-018,Khurd-Kabul Pass,khurd-kabul-pass-1842,Kabul,KBL,Central,Ancient Civilizations,Dramatic mountain pass of military legend.,This narrow gorge southeast of Kabul was the site of significant 19th-century battles. Its towering cliffs and winding stream offer a rugged natural beauty and a physical link to the 'Great Game' history that shaped the region.,"#GreatGame, #Hiking, #History",34.385,69.382,/assets/images/attractions/thumbnails/tkbl018.jpg,/assets/images/attractions/kbl018.webp,/assets/images/maps/provinces/kabul.svg,6,1
KDR-001,Tomb of Ahmad Shah Durrani,tomb-of-ahmad-shah-durrani,Kandahar,KDR,South,Spiritual & Religious,Shrine of the 'Father of Afghanistan'.,"This blue-domed mausoleum is the final resting place of Ahmad Shah Durrani, the founder of the modern Afghan state. Its interior is adorned with exquisite tilework and serves as a major landmark of national pride in the heart of Kandahar city.","#NationalPride, #Architecture, #Founder",31.621,65.711,/assets/images/attractions/thumbnails/tkdr001.jpg,/assets/images/attractions/kdr001.webp,/assets/images/maps/provinces/kandahar.svg,9,1
KDR-002,Shrine of Mirwais Hotak,shrine-of-mirwais-hotak,Kandahar,KDR,South,Spiritual & Religious,Mausoleum of the Hotaki dynasty's founder.,"Set in a quiet garden in the Kokaran area, this tomb commemorates Mirwais Nika, the national hero who liberated the region in 1709. Its elegant architecture and peaceful setting make it a significant historical site for understanding Afghan political identity.","#History, #Hero, #Gardens",31.615,65.655,/assets/images/attractions/thumbnails/tkdr002.jpg,/assets/images/attractions/kdr002.webp,/assets/images/maps/provinces/kandahar.svg,6,1
KDR-003,Baba Wali Shrine,baba-wali-shrine,Kandahar,KDR,South,Spiritual & Religious,Hillside shrine with Arghandab Valley views.,"This multi-tiered shrine is perched on a hill overlooking the lush Arghandab Valley. It is one of Kandahar's most popular leisure spots, offering terraced gardens and spectacular views of the pomegranate orchards and river below.","#Photography, #Viewpoint, #Pomegranates",31.661,65.702,/assets/images/attractions/thumbnails/tkdr003.jpg,/assets/images/attractions/kdr006.webp,/assets/images/maps/provinces/kandahar.svg,7,1
KDR-004,Mosque of the Sacred Cloak,kharqa-sharif-mosque,Kandahar,KDR,South,Spiritual & Religious,The most revered spiritual site in Kandahar.,"This mosque houses the 'Kharqa Sharif', a cloak believed to have been worn by the Prophet Muhammad. It is the spiritual epicenter of the south, known for its intricate tilework and the deep reverence it commands from pilgrims across the nation.","#Spiritual, #Revered, #Architecture",31.621,65.712,/assets/images/attractions/thumbnails/tkdr004.jpg,/assets/images/attractions/kdr004.webp,/assets/images/maps/provinces/kandahar.svg,9,1
KDR-005,Chilzina and the Forty Steps,chilzina-forty-steps,Kandahar,KDR,South,Ancient Civilizations,Ancient rock-cut stairs and royal views.,"Carved into a jagged mountain ridge by the Mughal Emperor Babur, these forty stone steps lead to a rock-cut chamber overlooking Kandahar. The site is historically significant for its Ashokan edicts and provides a commanding perspective of the city's unique geography.","#History, #Mughal, #Viewpoint",31.628,65.671,/assets/images/attractions/thumbnails/tkdr005.jpg,/assets/images/attractions/kdr005.webp,/assets/images/maps/provinces/kandahar.svg,8,1
KDR-006,Ayno Mina,ayno-mina-kandahar,Kandahar,KDR,South,Urban,A model of modern Afghan urbanism.,"Ayno Mina is a premier planned community in Kandahar, featuring wide paved avenues, lush public parks, and contemporary architecture. It serves as a symbol of the city's reconstruction and provides a glimpse into modern residential life in the south.","#UrbanDesign, #Modern, #Parks",31.65,65.77,/assets/images/attractions/thumbnails/tkdr006.jpg,/assets/images/attractions/kdr006.webp,/assets/images/maps/provinces/kandahar.svg,8,1
KPS-001,Nijrab Valley,nijrab-valley,Kapisa,KPS,Central,Rural,Lush terraced hills and river springs.,"Nijrab is a stunning valley known for its fresh water springs and terraced mountainsides. It is an agricultural jewel near Kabul, where stone-walled villages are surrounded by almond and walnut trees, offering a refreshing and verdant landscape.","#Nature, #Agriculture, #Hiking",35.01,69.67,/assets/images/attractions/thumbnails/tkps001.jpg,/assets/images/attractions/kps001.webp,/assets/images/maps/provinces/kapisa.svg,4,1
KHT-001,Khost City Scenery,khost-city-tani-district-scenery,Khost,KHT,East,Urban,Pashtun heartland and rolling hills.,Khost is defined by its vibrant Pashtun tribal culture and a landscape of rolling green hills that bridge the gap between the high mountains and the Indus plains. The region is known for its energetic markets and traditional hospitality.,"#PashtunCulture, #Nature, #Bazaars",33.34,69.92,/assets/images/attractions/thumbnails/tkht001.jpg,/assets/images/attractions/kht001.webp,/assets/images/maps/provinces/khost.svg,4,1
KNR-001,Kunar River Valley,kunar-river-valley,Kunar,KNR,East,Nature & Adventure,Dramatic forests and rushing whitewater.,"Kunar is home to some of Afghanistan’s most ruggedly beautiful terrain. The valley is characterized by steep, pine-forested mountains and the powerful Kunar River, making it a spectacular destination for those who appreciate wild, vertical landscapes.","#PineForest, #River, #Expedition",35.0,71.1,/assets/images/attractions/thumbnails/tknr001.jpg,/assets/images/attractions/knr001.webp,/assets/images/maps/provinces/kunar.svg,5,1
KDZ-001,Kunduz City & Farmlands,kunduz-city-farmlands,Kunduz,KDZ,North,Rural,The fertile breadbasket of the north.,"Kunduz is a hub of northern agriculture, surrounded by vast, irrigated plains that produce much of the country's grain. The city's bazaars reflect this bounty and its position as a key link between central Afghanistan and the northern borders.","#Agriculture, #Plains, #History",36.73,68.87,/assets/images/attractions/thumbnails/tkdz001.jpg,/assets/images/attractions/kdz001.webp,/assets/images/maps/provinces/kunduz.svg,4,1
LGM-001,Alingar Valley,alingar-valley,Laghman,LGM,East,Rural,"A lush, river-fed agricultural oasis.","The Alingar Valley is a masterpiece of rural scenery, where the river supports year-round farming. Traditional mud-brick homes are clustered amidst rice paddies and fruit orchards, providing a peaceful and highly photogenic eastern landscape.","#RicePaddies, #Nature, #Pastoral",34.85,70.15,/assets/images/attractions/thumbnails/tlgm001.jpg,/assets/images/attractions/lgm001.webp,/assets/images/maps/provinces/laghman.svg,4,1
LGR-001,Logar Valleys,logar-valleys,Logar,LGR,Central,Rural,Fertile wheat fields and apple orchards.,"Just south of Kabul, Logar is a province of rich agricultural valleys. It is famous for its large orchards and historic villages, serving as a primary source of fruit for the capital and offering a serene rural landscape for travelers.","#Apples, #Farming, #History",34.0,69.35,/assets/images/attractions/thumbnails/tlgr001.jpg,/assets/images/attractions/lgr001.webp,/assets/images/maps/provinces/logar.svg,4,1
NGH-001,Jalalabad City,jalalabad-city,Nangarhar,NGH,East,Urban,The garden city of the east.,"Jalalabad is famous for its subtropical climate, orange groves, and public parks. As a major trading hub between Kabul and Peshawar, it possesses a unique energy, with colorful markets and a culture deeply influenced by its warm weather.","#Oranges, #Gardens, #Trade",34.44,70.46,/assets/images/attractions/thumbnails/tngh001.jpg,/assets/images/attractions/ngh001.webp,/assets/images/maps/provinces/nangarhar.svg,5,1
NGH-002,Darunta Lake,darunta-lake-reservoir,Nangarhar,NGH,East,Nature & Adventure,Scenic reservoir with a mountain backdrop.,"Darunta Lake is a popular recreation spot near Jalalabad. Framed by rugged hills, the lake offers a peaceful waterfront setting for boat rides and riverside dining, serving as a vital irrigation source for the eastern plains.","#Boating, #Recreation, #Lakeside",34.475,70.365,/assets/images/attractions/thumbnails/tngh002.jpg,/assets/images/attractions/ngh002.webp,/assets/images/maps/provinces/nangarhar.svg,4,1
NGH-003,Hadda Archaeological Site,hadda-archaeological-site,Nangarhar,NGH,East,Ancient Civilizations,Lost monasteries of the Buddhist era.,"Hadda was once a thriving center of Greco-Buddhist art and pilgrimage. Although much has been lost to time, the site remains a critical location for understanding the spread of Buddhism and the unique 'Gandharan' art style that flourished here.","#BuddhistHistory, #Archaeology, #Gandhara",34.37,70.47,/assets/images/attractions/thumbnails/tngh003.jpg,/assets/images/attractions/ngh003.webp,/assets/images/maps/provinces/nangarhar.svg,6,1
NGH-004,Gandamak Last Stand Site,gandamak-last-stand,Nangarhar,NGH,East,Ancient Civilizations,A hilltop steeped in 'Great Game' history.,"Gandamak is famously known as the site of the final stand of the British 44th Regiment during the 1842 retreat from Kabul. Today, the quiet hilltop provides a place to reflect on the immense scale of history that has passed through these eastern passes.","#GreatGame, #History, #Hiking",34.29,70.04,/assets/images/attractions/thumbnails/tngh004.jpg,/assets/images/attractions/ngh004.webp,/assets/images/maps/provinces/nangarhar.svg,5,1
NIM-001,Nimroz Citadel,nimroz-citadel,Nimroz,NIM,South,Landmarks,A monumental mud-brick desert ruin.,"Located in the Chakhansur district, this massive citadel was once the seat of power in the Sistan basin. Built from thousands of sun-dried bricks, its ruins rise dramatically from the flat desert plains, testifying to a 2,000-year history of power and survival.","#Desert, #Fortress, #Architecture",31.11,62.0,/assets/images/attractions/thumbnails/tnim001.jpg,/assets/images/attractions/nim001.webp,/assets/images/maps/provinces/nimroz.svg,3,1
NIM-002,Qala Muhammad,qala-muhammad,Nimroz,NIM,South,Landmarks,Traditional dwellings of the southwest.,This village site near Zaranj offers a rare look at the unique desert architecture of southwestern Afghanistan. The use of wind-towers and thick mud walls showcases how local communities have adapted to the extreme heat of the Sistan desert for centuries.,"#DesertArchitecture, #Sustainability, #History",30.97,61.88,/assets/images/attractions/thumbnails/tnim002.jpg,/assets/images/attractions/nim002.webp,/assets/images/maps/provinces/nimroz.svg,3,1
NIM-003,Kamal Khan Dam,kamal-khan-dam,Nimroz,NIM,South,Urban,A modern engineering marvel on the Helmand.,"This major dam project on the Helmand River is a pillar of southwestern development. It has transformed the arid landscape into a burgeoning agricultural zone, creating a new lakeside environment that is becoming a local landmark for progress.","#Modernization, #River, #Lake",30.22,61.85,/assets/images/attractions/thumbnails/tnim003.jpg,/assets/images/attractions/nim003.webp,/assets/images/maps/provinces/nimroz.svg,4,1
NRS-001,Parun Valley,parun-valley,Nuristan,NRS,East,Rural,The capital of 'The Land of Light'.,"Parun is the heart of Nuristan, a region of incredible isolation and unique wooden architecture. The valley is famous for its intricate timber-framed homes and a culture that remained distinct for centuries, set within a landscape of dense forests and rushing rivers.","#WoodArchitecture, #Nuristan, #Nature",35.42,71.22,/assets/images/attractions/thumbnails/tnrs001.jpg,/assets/images/attractions/nrs001.webp,/assets/images/maps/provinces/nuristan.svg,6,1
NRS-002,Bashgal Valley,bashgal-valley,Nuristan,NRS,East,Bazaars & Artisans,Traditional wooden homes and mountain paths.,"Bashgal is known for its classic Nuristani villages, where multi-story wooden houses are stacked on steep hillsides. The valley offers an unparalleled cultural experience, highlighting a region where craftsmanship and mountain life are deeply intertwined.","#Culture, #Hiking, #Architecture",35.42,71.44,/assets/images/attractions/thumbnails/tnrs002.jpg,/assets/images/attractions/nrs002.webp,/assets/images/maps/provinces/nuristan.svg,6,1
NRS-003,Barg-e Matal & Lakes,barg-e-matal-highland-lakes,Nuristan,NRS,East,Nature & Adventure,Remote alpine meadows and cedar forests.,"Barg-e Matal is one of the most remote settlements in the country. It is a gateway to high-altitude lakes and pristine cedar forests, offering an untouched wilderness experience for the most adventurous nature lovers.","#Wilderness, #Adventure, #CedarForests",35.43,71.36,/assets/images/attractions/thumbnails/tnrs003.jpg,/assets/images/attractions/nrs003.webp,/assets/images/maps/provinces/nuristan.svg,5,1
PTA-001,Gardez & Zurmat Highlands,gardez-zurmat-highlands,Paktia,PTA,East,Rural,Rugged mountains and pine-forested ridges.,The Paktia highlands are defined by their rugged beauty and a landscape of scattered pine forests. The region is home to traditional Pashtun tribal communities and offers a glimpse into a culture deeply connected to the mountain terrain of the southeast.,"#PineForest, #PashtunCulture, #Highlands",33.6,69.22,/assets/images/attractions/thumbnails/tpta001.jpg,/assets/images/attractions/pta001.webp,/assets/images/maps/provinces/paktia.svg,4,1
PTK-001,Paktika Highlands,paktika-highlands-villages,Paktika,PTK,East,Rural,Vast frontier landscapes and tribal culture.,"Paktika is a land of wide, high-altitude plains and dispersed tribal villages. The province offers a sense of the vast, open frontier of southeastern Afghanistan, where life is governed by ancient tribal codes and the rhythm of the seasons.","#Frontier, #Nomadic corridor, #Tribal",32.5,68.5,/assets/images/attractions/thumbnails/tptk001.jpg,/assets/images/attractions/ptk001.webp,/assets/images/maps/provinces/paktika.svg,3,1
PJR-001,Ahmad Shah Massoud Mausoleum,massoud-mausoleum,Panjshir,PJR,Central,Landmarks,The domed monument of the Panjshir.,"Perched on a hill overlooking the valley, this domed mausoleum commemorates the 'Lion of Panjshir'. It has become a site of national significance, offering visitors a place of reflection and the most iconic panoramic view of the Panjshir River and its lush banks.","#Panjshir, #NationalPride, #Viewpoint",35.31,69.48,/assets/images/attractions/thumbnails/tpjr001.jpg,/assets/images/attractions/pjr001.webp,/assets/images/maps/provinces/panjshir.svg,7,1
PJR-002,Paryan Valley,paryan-valley-trek,Panjshir,PJR,Central,Nature & Adventure,Pristine alpine trekking and river headwaters.,"Located at the far end of the Panjshir, Paryan is a high-altitude paradise for hikers. With crystal-clear mountain streams, wildflower meadows, and peaks that remain snow-capped year-round, it offers some of the best alpine scenery in central Afghanistan.","#Trekking, #Alpine, #Wildflowers",35.65,70.02,/assets/images/attractions/thumbnails/tpjr002.jpg,/assets/images/attractions/pjr002.webp,/assets/images/maps/provinces/panjshir.svg,6,1
PRW-001,Salang Pass,salang-pass-and-tunnel,Parwan,PRW,Central,Nature & Adventure,The high-altitude gateway to the north.,"Traversing the Hindu Kush at over 3,400 meters, the Salang Pass is one of the world's most dramatic mountain crossings. The route is defined by steep switchbacks, massive snow galleries, and the engineering marvel of the Salang Tunnel, offering rugged scenery and crisp alpine air.","#SnowGalleries, #MountainPass, #Photography",35.318,69.052,/assets/images/attractions/thumbnails/tprw001.jpg,/assets/images/attractions/prw001.webp,/assets/images/maps/provinces/parwan.svg,9,1
PRW-002,Jabal Saraj Palace,jabal-saraj-palace,Parwan,PRW,Central,Landmarks,Royal-era fortress at the foot of the pass.,"Built by King Habibullah Khan in the early 20th century, this historic palace served as a winter retreat and strategic lookout. Its architecture blends traditional Afghan fortress styles with modern influences, standing as a landmark in the fertile plains of Parwan.","#RoyalPalace, #Fortress, #History",35.12,69.24,/assets/images/attractions/thumbnails/tprw002.jpg,/assets/images/attractions/prw002.webp,/assets/images/maps/provinces/parwan.svg,5,1
SAM-001,Takht-e Rostam,takht-e-rostam-samangan,Samangan,SAM,North,Ancient Civilizations,Unique rock-cut Buddhist stupa.,"Unlike any other stupa in the world, Takht-e Rostam is carved entirely into the bedrock rather than built on top of it. This monolithic 4th-century structure, shaped like a massive stone bowl, is surrounded by a deep trench and adjacent rock-cut cave monasteries, creating a surreal and spiritual atmosphere.","#Monolithic, #BuddhistHistory, #Archaeology",36.248,68.026,/assets/images/attractions/thumbnails/tsam001.jpg,/assets/images/attractions/sam001.webp,/assets/images/maps/provinces/samangan.svg,8,1
SAM-002,Buddhist Cave Monasteries,samangan-buddha-caves,Samangan,SAM,North,Ancient Civilizations,Rock-cut cells of ancient Silk Road monks.,"Adjacent to the Takht-e Rostam stupa, these carved caves served as the living and meditation quarters for Buddhist monks. Exploring the hollowed chambers gives visitors a tangible sense of the monastic life that once flourished along this branch of the Silk Road.","#MonasticLife, #SilkRoad, #Archaeology",36.248,68.026,/assets/images/attractions/thumbnails/tsam002.jpg,/assets/images/attractions/sam002.webp,/assets/images/maps/provinces/samangan.svg,6,1
SEP-001,Sar-e-Pol Meadows,sar-e-pol-nomadic-meadows,Sar-e-Pol,SEP,North,Rural,Vast rolling hills and pastoral plains.,"Sar-e-Pol is a region of immense, open meadows that serve as a corridor for nomadic movement in the north. The landscape is characterized by its scale and simplicity, offering wide horizons and a peaceful view of Afghanistan's northern pastoral life.","#Meadows, #Nomadic corridor, #Pastoral",36.21,65.93,/assets/images/attractions/thumbnails/tsep001.jpg,/assets/images/attractions/sep001.webp,/assets/images/maps/provinces/sar-e-pol.svg,4,1
TKH-001,Ai-Khanoum,ai-khanoum,Takhar,TKH,North,Ancient Civilizations,The 'Moon City' of the Greeks.,"Situated at the confluence of the Oxus and Kokcha rivers, this site was a major Hellenistic city. It represents the easternmost reach of Greek culture, where archaeological remains have revealed a gymnasium, a theater, and temples that blend Mediterranean and Oriental traditions.","#Hellenistic, #GreeksInAsia, #Archaeology",37.164,69.412,/assets/images/attractions/thumbnails/ttkh001.jpg,/assets/images/attractions/tkh001.webp,/assets/images/maps/provinces/takhar.svg,7,1
URZ-001,Tarin Kot Surroundings,tarin-kot-surroundings,Uruzgan,URZ,South,Rural,Rugged valleys and mud-brick villages.,"Uruzgan is a province of stark, mountainous beauty. The area surrounding Tarin Kot is home to traditional village communities where life is deeply rooted in the land. It offers a raw and authentic look at the rural south, away from modern urban centers.","#Authentic, #RuralLife, #Rugged",32.63,65.87,/assets/images/attractions/thumbnails/turz001.jpg,/assets/images/attractions/urz001.webp,/assets/images/maps/provinces/uruzgan.svg,3,1
WRD-001,Wardak Highlands,wardak-highlands-villages,Wardak,WRD,Central,Rural,High valleys and historic stone settlements.,"Wardak is defined by its high-altitude valleys and historic mud and stone architecture. Located along a major national corridor, it offers beautiful mountain scenery and a glimpse into the agricultural life of the central highlands.","#StoneVillage, #Highlands, #Nature",34.4,68.8,/assets/images/attractions/thumbnails/twrd001.jpg,/assets/images/attractions/wrd001.webp,/assets/images/maps/provinces/wardak.svg,5,1
ZBL-001,Shahjoy & Qalat Valleys,shahjoy-qalat-valleys,Zabul,ZBL,South,Rural,Southern mountain ridges and tribal lands.,"Zabul is a land of rugged ridges and dry valleys. The landscape is dotted with ancient fortresses and traditional settlements, offering a glimpse into the resilient tribal cultures that have inhabited these southern passes for generations.","#TribalLands, #History, #Rugged",32.1,67.2,/assets/images/attractions/thumbnails/tzbl001.jpg,/assets/images/attractions/zbl001.webp,/assets/images/maps/provinces/zabul.svg,3,1