province_code,province_name,province_slug,region,short_blurb,full_blurb,center_lat,center_lon,cover_image_path,square_image_path,svg_map_path,is_featured,feature_rank
BMY,Bamyan,bamyan,CENTRAL,"The crown jewel of Afghan tourism, home to UNESCO Buddhas and sapphire lakes.","Afghanistan’s premier cultural destination. Stand before the towering empty niches of the destroyed 6th-century Buddhas and explore the sapphire-blue travertine lakes of Band-e-Amir National Park. Known for its cool climate and the red fortress of Shahr-e Zohak, it is the spiritual and scenic heart of the Hazarajat.",34.77,67.29,/assets/images/province/bamyan.webp,/assets/images/province/square-size/bamiyan.jpg,/assets/images/maps/provinces/bamyan.svg,1,2.0
DYK,Daykundi,daykundi,CENTRAL,"A rugged, high-altitude landscape of almond blossoms and Hazara hospitality.","One of the most isolated provinces in the Central Highlands, Daykundi is a land of sheer cliffs and deep valleys. Famous for its high-quality almonds, it offers a raw, authentic look at rural life and stunning trekking opportunities through the Shah Foladi mountain range.",33.67,66.05,/assets/images/province/daykundi.webp,/assets/images/province/square-size/daykundi.jpg,/assets/images/maps/provinces/daykundi.svg,0,
GHZ,Ghazni,ghazni,CENTRAL,An ancient imperial capital filled with crumbling minarets and Ghaznavid history.,"Once the capital of a vast empire stretching to India, Ghazni is an open-air museum. The 12th-century victory minarets and the massive mud-brick citadel (Bala Hissar) tell the story of Sultan Mahmud, while the tomb of Al-Biruni marks it as a former center of global science.",33.55,68.43,/assets/images/province/ghazni.webp,/assets/images/province/square-size/ghazni.jpg,/assets/images/maps/provinces/ghazni.svg,1,5.0
KBL,Kabul,kabul,CENTRAL,"The frantic, historic, and resilient capital city at the crossroads of Asia.","A city of layers, Kabul blends the gardens of the Mughal Emperor Babur with the bustling chaos of the Mandawi Bazaar. From the turquoise domes of the Sakhi Shrine to the bird markets of the Old City, it is a high-energy hub where ancient Silk Road traditions meet the modern state.",34.51,69.16,/assets/images/province/kabul.webp,/assets/images/province/square-size/kabul.jpg,/assets/images/maps/provinces/kabul.svg,1,1.0
KPS,Kapisa,kapisa,CENTRAL,A fertile valley of citrus groves and ancient Buddhist monastery ruins.,"Known for its lush agriculture and historical importance as a gateway to the north. Visitors explore the ruins of the Shotorak monastery, dating back to the Kushan Empire, and enjoy the greenery of the Tagab and Nijrab valleys, often called the fruit basket of the Kabul region.",35.01,69.67,/assets/images/province/kapisa.webp,/assets/images/province/square-size/kapisa.jpg,/assets/images/maps/provinces/kapisa.svg,0,
LGR,Logar,logar,CENTRAL,Gateway to the south and home to the world’s most significant copper-age ruins.,"Logar is defined by its fertile plains and the massive Mes Aynak archaeological site. This ancient Buddhist city, built atop a massive copper deposit, remains one of the world's most critical heritage sites, featuring stupas and statues dating back 2,000 years.",34.00,69.35,/assets/images/province/logar.webp,/assets/images/province/square-size/logar.jpg,/assets/images/maps/provinces/logar.svg,0,
PJR,Panjshir,panjshir,CENTRAL,The legendary Five Lions valley of emerald mines and resistance history.,"A dramatic, narrow gorge carved by a glacial river. Panjshir is world-renowned for its high-quality emeralds and its history as an unconquerable fortress. Travelers visit the Massoud Mausoleum and the Paryan Valley for breathtaking alpine scenery and mountain air.",35.48,69.75,/assets/images/province/panjshir.webp,/assets/images/province/square-size/panjshir.jpg,/assets/images/maps/provinces/panjshir.svg,0,
PRW,Parwan,parwan,CENTRAL,Home to the engineering marvel of the Salang Pass and lush hillside gardens.,"Parwan is the strategic hinge between Kabul and the North. It features the Salang Pass—the highest tunnel in the world—and the historic Jabal Saraj Palace. The Charikar region is famous for its grapes and the Flower Hill (Gul Ghondi), a favorite picnic spot for locals.",35.22,69.15,/assets/images/province/parwan.webp,/assets/images/province/square-size/parwan.jpg,/assets/images/maps/provinces/parwan.svg,0,
WRD,Wardak,wardak,CENTRAL,A high-altitude gateway of nomadic pastures and dramatic mountain passes.,"Dominated by the Koh-e-Baba range, Wardak is a transit heartland. Its Tangi Valley and Hajigak Pass offer rugged scenery where Kuchi nomads migrate seasonally. It serves as a vital cultural link between the Pashtun south and the Hazara central highlands.",34.40,68.80,/assets/images/province/wardak.webp,/assets/images/province/square-size/wardak.jpg,/assets/images/maps/provinces/wardak.svg,0,
KHT,Khost,khost,EAST,"A lush, pine-forested borderland with a deep tribal and trade heritage.","Known as the Little Switzerland of the east for its pine-covered hills, Khost is a vibrant Pashtun cultural center. Its bustling border bazaars and the modern Khost Mosque highlight a region that thrives on trade and deep-rooted tribal customs.",33.34,69.92,/assets/images/province/khost.webp,/assets/images/province/square-size/khost.jpg,/assets/images/maps/provinces/khost.svg,0,
KNR,Kunar,kunar,EAST,"A land of roaring rivers, dense forests, and the wild Korangal Valley.","Kunar is defined by the mighty Kunar River and its timber-rich mountains. It is a premier destination for those seeking the wild East, offering dramatic river-gorge scenery and the lush, steep-sided valleys that lead into the Nuristan forests.",35.00,71.10,/assets/images/province/kunar.webp,/assets/images/province/square-size/kunar.jpg,/assets/images/maps/provinces/kunar.svg,0,
LGM,Laghman,laghman,EAST,A sub-tropical oasis of citrus orchards and Alexander the Great’s legacy.,"Laghman is a fertile paradise of rivers and gardens. The Alingar and Alishang rivers feed vast fields of rice and citrus. History buffs visit the Qala-e-Seraj and look for traces of Alexander the Great, who reportedly founded a city in these lush valleys.",34.85,70.15,/assets/images/province/laghman.webp,/assets/images/province/square-size/laghman.jpg,/assets/images/maps/provinces/laghman.svg,0,
NGH,Nangarhar,nangarhar,EAST,The garden province of Jalalabad and the gateway to the Khyber Pass.,"Home to the Evergreen City of Jalalabad, Nangarhar is famous for its orange blossoms and warm winters. It is a major trade hub on the path to the Khyber Pass and contains the Buddhist remains of Hadda, showing its deep importance to the ancient Silk Road.",34.39,70.33,/assets/images/province/nangarhar.webp,/assets/images/province/square-size/nangarhar.jpg,/assets/images/maps/provinces/nangarhar.svg,1,7.0
NRS,Nuristan,nuristan,EAST,The forested Land of Light with unique wooden architecture and alpine peaks.,"Until the late 19th century, this was Kafiristan. Today, it is a National Park of vertical cedar forests and wooden-balconied villages. Its people have a distinct culture and language, living in some of the most dramatic mountain terrain in the Hindu Kush.",35.42,71.34,/assets/images/province/nuristan.webp,/assets/images/province/square-size/nuristan.jpg,/assets/images/maps/provinces/nuristan.svg,1,10.0
PTA,Paktia,paktia,EAST,A highland stronghold of ancient fortresses and rugged pine ridges.,"Paktia is centered on the city of Gardez and its formidable Bala Hissar fortress. The province is characterized by high-altitude forests and the Shah-i-Kot Valley, offering a look at the traditional Pashtunwali way of life in a rugged, mountainous setting.",33.60,69.22,/assets/images/province/paktia.webp,/assets/images/province/square-size/paktia.jpg,/assets/images/maps/provinces/paktia.svg,0,
PTK,Paktika,paktika,EAST,"A vast, remote frontier of nomadic steppes and tribal borderlands.","Bordering Pakistan’s tribal areas, Paktika is a land of wide-open plains and semi-arid beauty. It is a primary grazing ground for nomadic tribes and offers a truly off-the-beaten-path experience for those exploring the deep traditions of the southeast.",32.50,68.50,/assets/images/province/paktika.webp,/assets/images/province/square-size/paktika.jpg,/assets/images/maps/provinces/paktika.svg,0,
BDK,Badakhshan,badakhshan,NORTH,"The Roof of the World, home to the Wakhan Corridor and lapis lazuli.","Afghanistan’s most remote and dramatic province. Badakhshan contains the Wakhan Corridor, where the Pamir and Hindu Kush mountains meet. It is home to the world’s oldest lapis lazuli mines and the high-altitude Kyrgyz nomad camps on the Little Pamir.",36.87,72.00,/assets/images/province/badakhshan.webp,/assets/images/province/square-size/badakhshan.jpg,/assets/images/maps/provinces/badakhshan.svg,1,8.0
BAG,Baghlan,baghlan,NORTH,A strategic northern crossroads featuring the Zoroastrian ruins of Surkh Kotal.,"Baghlan bridges the Hindu Kush and the northern plains. Its highlight is Surkh Kotal, a massive 2nd-century fire temple built by King Kanishka. It is a region of industrial history and lush sugar-beet fields along the Kunduz River.",36.03,68.58,/assets/images/province/baghlan.webp,/assets/images/province/square-size/baghlan.jpg,/assets/images/maps/provinces/baghlan.svg,0,
BAL,Balkh,balkh,NORTH,The Mother of Cities and spiritual heart of the Blue Mosque.,"One of the oldest cities in the world, Balkh was a center of Zoroastrianism, Buddhism, and Islam. The turquoise-tiled Blue Mosque in Mazar-i-Sharif is the spiritual anchor, while the ruins of the Walls of Balkh speak to its history as a Silk Road superpower.",36.73,66.95,/assets/images/province/balkh.webp,/assets/images/province/square-size/balkh.jpg,/assets/images/maps/provinces/balkh.svg,1,3.0
FRY,Faryab,faryab,NORTH,A northern tapestry of Turkmen rug-weaving and nomadic steppe life.,"Located on the border with Turkmenistan, Faryab is a center for Afghan carpet weaving and Turkic culture. Its provincial capital, Maymana, is a historic market town where Silk Road influences are still seen in the local crafts and nomadic horse culture.",36.08,64.90,/assets/images/province/faryab.webp,/assets/images/province/square-size/faryab.jpg,/assets/images/maps/provinces/faryab.svg,0,
JOW,Jowzjan,jowzjan,NORTH,Home to the Bactrian Gold and the ancient ruins of Tala Tepe.,"Jowzjan is a land of northern plains and gas reserves, but its true claim to fame is Tala Tepe, where archaeologists discovered 20,000 pieces of 2,000-year-old gold jewelry. It remains a critical site for understanding the Greco-Bactrian era.",36.70,65.79,/assets/images/province/jowzjan.webp,/assets/images/province/square-size/jowzjan.jpg,/assets/images/maps/provinces/jowzjan.svg,0,
KDZ,Kunduz,kunduz,NORTH,A fertile agricultural hub of the north and a historic crossroads of trade.,"Kunduz is the agricultural powerhouse of the North, defined by the Amu Darya river basin. It is a melting pot of ethnicities and a vital trade node connecting Afghanistan to Tajikistan and Central Asia beyond.",36.73,68.87,/assets/images/province/kunduz.webp,/assets/images/province/square-size/kunduz.jpg,/assets/images/maps/provinces/kunduz.svg,0,
SAM,Samangan,samangan,NORTH,Home to the incredible rock-cut Buddhist stupa of Takht-e Rostam.,"A highlight of any northern tour, Samangan features the 4th-century Takht-e Rostam, a massive Buddhist stupa carved entirely from a single rock hill. The province is a transition zone from the mountains to the northern plains.",36.25,68.03,/assets/images/province/samangan.webp,/assets/images/province/square-size/samangan.jpg,/assets/images/maps/provinces/samangan.svg,0,
SEP,Sar-e-Pol,sar-e-pol,NORTH,A land of rugged river canyons and untapped mineral wealth.,"Sar-e Pol is characterized by the dramatic Balkhab River valley. It is an isolated and beautiful region of steep hills and traditional villages, recently becoming known for its emerging oil and mineral resources in the northern foothills.",36.21,65.93,/assets/images/province/sar-e-pol.webp,/assets/images/province/square-size/sar-e-pol.jpg,/assets/images/maps/provinces/sar-e-pol.svg,0,
TKH,Takhar,takhar,NORTH,A land of ancient Greek cities and the lush banks of the Kokcha River.,"Takhar is home to the ancient city of Ai-Khanoum, one of the primary outposts of Alexander the Great’s empire. Its capital, Taloqan, is a bustling market town set against the backdrop of the verdant Kokcha River valley.",37.16,69.41,/assets/images/province/takhar.webp,/assets/images/province/square-size/takhar.jpg,/assets/images/maps/provinces/takhar.svg,0,
HLM,Helmand,helmand,SOUTH,A river-fed desert oasis home to the ancient Qala-e-Bost arch.,"Dominated by the Helmand River, this province features the 11th-century Qala-e-Bost, a massive decorative arch that once served as a gateway to a Ghaznavid palace. It is the heart of the southern agricultural belt and a stronghold of Pashtun history.",31.43,64.23,/assets/images/province/helmand.webp,/assets/images/province/square-size/helmand.jpg,/assets/images/maps/provinces/helmand.svg,0,
KDR,Kandahar,kandahar,SOUTH,The birthplace of the Durrani Empire and the soul of the Pashtun south.,"The former capital of Afghanistan, Kandahar is home to the Mosque of the Sacred Cloak and the tomb of Ahmad Shah Durrani. From the Forty Steps of Babur to its world-famous pomegranates, it is the political and cultural pillar of the south.",31.63,65.70,/assets/images/province/kandahar.webp,/assets/images/province/square-size/kandahar.jpg,/assets/images/maps/provinces/kandahar.svg,1,4.0
NIM,Nimroz,nimroz,SOUTH,A vast desert frontier of shifting dunes and the Kamal Khan Dam.,"The most sparsely populated province, Nimroz is a land of dramatic desert landscapes and the Sistan Basin. The capital, Zaranj, is a historic border post on the Silk Road leading into Persia, surrounded by the ruins of ancient adobe cities.",30.77,61.91,/assets/images/province/nimroz.webp,/assets/images/province/square-size/nimroz.jpg,/assets/images/maps/provinces/nimroz.svg,1,9.0
URZ,Uruzgan,uruzgan,SOUTH,An isolated highland of almond groves and rugged mountain terrain.,"Uruzgan is a remote province of narrow valleys and high ridges. It remains one of the most traditional areas of the country, offering a window into rural southern life and the resilient mountain cultures of the Gizab and Deh Rahwod districts.",32.63,65.87,/assets/images/province/uruzgan.webp,/assets/images/province/square-size/uruzgan.jpg,/assets/images/maps/provinces/uruzgan.svg,0,
ZBL,Zabul,zabul,SOUTH,A historic transit corridor marked by the fortress of Qalat-e Gilzay.,"Zabul is the mountainous bridge between Kabul and Kandahar. Its landmark is the imposing hilltop citadel in Qalat, which has been used by various empires for centuries to control the southern trade routes through the Tarnak River valley.",32.10,67.20,/assets/images/province/zabul.webp,/assets/images/province/square-size/zabul.jpg,/assets/images/maps/provinces/zabul.svg,0,
BDG,Badghis,badghis,WEST,A landscape of rolling hills and the world’s largest pistachio forests.,"Badghis is famous for its pistachio hills, a unique semi-arid landscape that turns vibrant green in the spring. It is a quiet, rural province home to Turkmen and Tajik communities, offering a peaceful, undulating scenery in the northwest.",35.01,63.77,/assets/images/province/badghis.webp,/assets/images/province/square-size/badghis.jpg,/assets/images/maps/provinces/badghis.svg,0,
FRH,Farah,farah,WEST,A desert plains outpost featuring the massive Farah Citadel.,"Farah is a vast, sun-drenched province bordering Iran. Its main attraction is the Great Citadel of Farah, an ancient fortress traditionally attributed to Alexander the Great. It is a land of wide horizons and the winding Farah River.",32.38,62.11,/assets/images/province/farah.webp,/assets/images/province/square-size/farah.jpg,/assets/images/maps/provinces/farah.svg,0,
GHO,Ghor,ghor,WEST,"Home to the 12th-century Minaret of Jam, a UNESCO masterpiece.","Ghor is a high-plateau province of extreme isolation. Hidden in a deep river gorge here is the Minaret of Jam, the world’s second-tallest brick minaret and a UNESCO World Heritage site, marking the peak of the Ghorid Empire.",34.45,64.76,/assets/images/province/ghor.webp,/assets/images/province/square-size/ghor.jpg,/assets/images/maps/provinces/ghor.svg,0,
HER,Herat,herat,WEST,"The Pearl of Khorasan, a center of Timurid art and blue-tiled mosques.","Afghanistan’s cultural capital of the West. Herat is defined by its 15th-century Friday Mosque, the Citadel of Alexander, and its vibrant tile-making tradition. It remains the most architecturally refined city in the country, blending Afghan and Persian aesthetics.",34.35,62.19,/assets/images/province/herat.webp,/assets/images/province/square-size/herat.jpg,/assets/images/maps/provinces/herat.svg,1,6.0
